unit,sex,age,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,T,Y20-64,TOTAL,BE	8.2 b	8.0 	7.2 	6.8 	7.7 	8.0 	6.9 b	7.4 	8.3 	8.4 	8.4 	7.7 
PC,T,Y20-64,TOTAL,BG	9.8 b	8.6 	6.6 	5.4 b	6.6 	10.0 b	11.0 b	12.0 	12.7 	11.3 	9.1 	7.6 
PC,T,Y20-64,TOTAL,CH	4.3 b	3.8 	3.5 	3.2 	4.0 	4.7 b	4.3 	4.4 	4.6 	4.8 	4.7 	4.8 
PC,T,Y20-64,TOTAL,CY	5.2 b	4.5 	3.9 	3.7 	5.4 b	6.2 	7.8 	11.8 	15.8 	16.0 	14.9 	12.9 
PC,T,Y20-64,TOTAL,CZ	7.6 b	6.9 	5.2 	4.3 	6.5 	7.1 	6.5 b	6.8 	6.8 	6.0 	5.0 	3.9 
PC,T,Y20-64,TOTAL,DE	11.2 b	10.2 	8.6 	7.5 	7.7 	7.0 b	5.8 b	5.4 	5.2 	5.0 	4.6 	4.1 
PC,T,Y20-64,TOTAL,DK	4.6 b	3.5 	3.4 	3.0 	5.5 	6.9 	7.0 	7.0 	6.6 	6.2 	5.9 	5.7 b
PC,T,Y20-64,TOTAL,EA18	8.7 b	8.0 	7.2 	7.2 	9.2 	9.8 	9.9 	11.1 	11.8 	11.5 	10.7 	9.9 
PC,T,Y20-64,TOTAL,EA19	8.7 b	8.0 	7.1 	7.2 	9.2 	9.8 	9.9 	11.1 	11.8 	11.5 	10.7 	9.9 
PC,T,Y20-64,TOTAL,EE	7.9 b	5.7 	4.4 	5.2 	13.3 	16.7 	12.2 	10.0 	8.6 	7.3 	6.1 	6.8 
PC,T,Y20-64,TOTAL,EL	9.8 b	8.9 	8.3 	7.7 	9.5 b	12.7 	17.8 	24.3 	27.3 	26.4 	24.9 	23.5 
PC,T,Y20-64,TOTAL,ES	8.7 b	8.0 	7.8 	10.6 	17.2 	19.3 	20.9 	24.3 	25.6 	24.1 	21.7 	19.3 
PC,T,Y20-64,TOTAL,EU27	8.6 b	7.8 	6.8 	6.6 	8.5 	9.2 	9.3 	10.1 	10.5 	10.0 	9.2 	8.3 
PC,T,Y20-64,TOTAL,EU28	8.6 b	7.8 	6.8 	6.6 	8.5 	9.2 	9.3 	10.1 	10.6 	10.0 	9.2 	8.4 
PC,T,Y20-64,TOTAL,FI	7.7 b	7.0 	6.1 	5.6 b	7.4 	7.6 	7.1 	7.0 	7.5 	8.0 	8.8 	8.2 
PC,T,Y20-64,TOTAL,FR	8.1 b	8.0 	7.3 	6.7 	8.3 	8.5 	8.5 	9.0 	9.6 	9.9 b	10.0 	9.7 
